;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС «ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ «ЛЕНИНСКИЙ»;;;;;;;
ID_проекта;№ п/п;Наименование  работ (разделов работ).;№ Договора;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
0feb8a44-a0f4-11ef-af7f-0050560219d5;17;Конструкции металлические. Конструкции АБК;65-ХСА-1/24;КМ;2;B;65-ХСА-1/24-КМ2-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1 - КРП выдал 19.12.25
Изм.2 - КРП выдал 05.03.26";"06.06.25
19.12.25 - Изм.1
18.03.26 - Изм.2";"19.12.25 - Изм.1 - эл.версия - Армикон
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
18.03.26 - эл. Версия - Изм.2 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;18;Конструкции металлические. Наружный фахверк;65-ХСА-1/24;КМ;3;B;65-ХСА-1/24-КМ3-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25
КРП выдал 18.06.25
Изм.1 - КРП выдал 20.10.25
Изм.2 - КРП выдал 22.01.26";"20.06.25
21.10.25 - Изм.1
22.01.26 - Изм.2";"19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
22.01.26 - Изм.2 - эл.версия - Армикон
22.01.26 - эл. Версия - Изм.2 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;19;Конструкции металлические. Внутренний фахверк;65-ХСА-1/24;КМ;4;B;65-ХСА-1/24-КМ4-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";06.06.2025;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;20;Конструкции металлические. Наружные лестницы;65-ХСА-1/24;КМ;5;B;65-ХСА-1/24-КМ5-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 05.06.25
Изм.1 - КРП выдал 03.07.25
Изм.2 - КРП выдал 06.08.25
Изм.3 - КРП выдал 22.09.25
Изм.4 - КРП выдал 11.12.25";"03.06.25
05.06.25
03.07.25 - Изм.1
07.08.25 - Изм.2
22.09.25 - Изм.3
11.12.25 - Изм.4";19.01.26 - эл. Версия - Изм.4 - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;21;Электрическое освещение и электрооборудование;65-ХСА-1/24;ЭОМ;;B;65-ХСА-1/24-ЭОМ-В;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);на рассмотрении;Исключить крыки лотков (для ОКЛ остаются);;"КРП выдал 18.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
Изм.1 - КРП выдал 02.03.26";"07.07.25
07.11.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;22;Внутренние системы водоснабжения и канализации;65-ХСА-1/24;ВК;;B;65-ХСА-1/24-ВК-В;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;на рассмотрении;"Опора ОП-1,ОП-2 на листе узла учета и на последних листе различна

ошибки спецификаций";;"КРП выдал 27.06.25
Изм.1 - КРП выдал 02.03.26
Изм.1 - КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";17.02.2026;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;23;Автоматическая установка пожаротушения;65-ХСА-1/24;АПТ;;B;65-ХСА-1/24-АУПТ-В;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;"КРП выдал 18.06.25
Изм.1 - КРП выдал 02.03.26";"01.08.25
30.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;24;Отопление, вентиляция и кондиционирование;65-ХСА-1/24;ОВ;;B;65-ХСА-1/24-ОВ-В;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";03.04.26 - изм.1;
0feb8a44-a0f4-11ef-af7f-0050560219d5;25;Пожарная сигнализация;65-ХСА-1/24;ПС;;B;65-ХСА-1/24-ПС-В;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;"По распоряжению №68-LI от 19.03.26г.:
 1.  Для  локального  контроля  и  оперативного  управления  подсистемами 
резидентов предусмотреть проектом комплектацию шкафов пожарной сигнализации 
(ШПС), блоком световой и звуковой индикации состояния разделов типа С2000-бки с 
возможностью ограничения доступа к органам управления при помощи встроенного 
считывателя ключей. Touch Memory.  
2. Размещения шкафов пожарной сигнализации (ШПС) в боксах резидентов 
выполнить в производственно-складских помещениях. Место размещения определить 
проектом.  Решение  подлежит  дополнительному  согласованию  с  проектно-
инвестиционной группой заказчика. ";10.04.2026;"КРП выдал 24.06.25
Изм.1 - КРП выдал 01.03.26";"04.08.25
23.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;26;Автоматизация комплексная;65-ХСА-1/24;АК;;B;65-ХСА-1/24-АК-В;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;не принят;оформить изм;16.03.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25";07.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;27;Огнестойкость металлических конструкций;65-ХСА-1/24;ОГН;;B;Огнестойкость МК;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 15.01.26";"10.07.2025
16.01.26 - Изм.1";23.03.26 - Изм.1 - эл. версия - ОРИЕНТИР
0feb8a44-a0f4-11ef-af7f-0050560219d5;;Блок C;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Общие архитектурные решения;65-ХСА-1/24;АС;1;C;65-ХСА-1/24-АС1-С;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возращен на доработку;не принят;"согласно распоряжения №52-LI от 12.08.25 скорректировать планировку  для доступа МГН

Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

По распоряжению №60 от 10.12.25:
Надпись номера помещения (бокса) на фасадной части:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1500 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""INDUSTRIAL CITY""(при наличии):
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""BLOCK"":
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Для всех форматов LI предусмотреть световые знаки с названием улицы, строения, номера строения на боковых фасадах, ориентированных на основные проезды и внешние улично-дорожные сети, с подключением к сети электроснабжения (световой знак с названием улицы и нумерацией ГОСТ 180 (5 мм)/D44. Передняя панель - акрил + полноцветная печать на пленке ORACAL. Торец. задняя часть - ПВХ. Комплектация: светодиодная подсветка 24W, 6400 К, 152 см, 230V Ширина полосы 3,5 см (с подсветкой))

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

по Распоряжению №63-Li от 27.01.26г. предусмотреть окраску Ж/Б цокольных панелей и Ж/б колонн фасадной матовой краской Linnimax Silkon Super Fassade, (или аналог по согласованию с Заказчиком). Цвет RAL 7035 светло серый под бетон;

По распоряжению 04-ДП от 23.03.26г. предусмотреть:
Основная отделка стен предусмотрена СМЛ панелями высотой 3м (Панель - поталь титан (панели монтируются в 1 слой));
Декоративная отделка стен предусмотрена реечными стеновыми панелями (Панель ""WINAL"" лист HPL пластик Металлик LM-1003 со скрытым креплением);
Применить вертикальный стыковочный профиль высотой 3 м;
Применить плинтус цветпо RAL 7024 WNL 100х13
Участки стен выше 3 м -""лобик"", предусмотреть в вариантах из СМЛ панелей или ГКЛ в цвет потолочных конструкций";15.04.2026;КРП выдал 27.06.25;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;2;Стеновые и кровельные ограждающие конструкции;65-ХСА-1/24;АС;2;C;65-ХСА-1/24-АС2-С;;;;;;;;;;;;;;30.04.2025;Загружен, возращен на доработку;не принят;"по распоряжению №47к-Li от 13.10.25г. Скорректировать логитип на кровле из ПВХ-мембраны тезнониколь 1,5 мм RAL 3016

согласно распоряжения №53к-Li от 06.02.26:
1.остекление входных групп выполнить двухкамерными стеклопакетами (СПД4Т/Gray-12-4-12-4), стекло тонированное Planibel Grey;
2.Остекление дверного блока выполнить однокамерными стеклопакетами по формуле СПД4Т/Grey-20-4, стекло тонированное Planibel Grey;
3.Дверное полотно каждого из боксов оборудовать:
3.1. Доводчиком с ограничением открывания полотна типа TS, производителя «DORMA» со скользящей тягой, или аналог;
3.2. Врезным механическим замком серии 920 производителя «DORMA», или аналог с защелкой и штифтовым механизмом, который предусматривается для запирания входной двери в том числе вне рабочего времени;
3.3. Цилиндр врезного замка типа ключ – вертушка серии CBR-1 PRO производителя «DORMA», или аналог с накладками из нержавеющей стали с наружной стороны;
3.4. Наружной ручкой типа скоба из нержавеющей стали высоту которой принять по формуле: высота дверного блока -500 мм. Ручку причинять производителя «FUARO», марки PULL.PH32/*.45 INOX 304, или аналог конструкцией которой должна предусматривать собой нормальный доступ к цилиндру механического врезного замка. Размещение ручки выполнить по центру дверного полотна;
3.5. Внутренняя фалевая ручка типа модели Pure 8100 / 6621 / 6679 производителя, производителя «DORMA»;
3.6. Электромеханической защелкой производителя Soca SL-350B или аналог, которая предусматривается в качестве ответной планки защелке врезного механического замка;
3.7. Упор дверной из нержавеющей стали с резиновым кольцом;
3.8. Комплектом локальной системы контроля и управления доступом (СКУД) в соответствии с требованиями пункта – Система контроля и управления доступом (СКУД) АББ резидентов, указанный в типовых технических заданиях.
4. Проход в боксы резидентов выполняется путем управления защелкой Soca SL-350B. Подача сигнала «ОТКРЫТЬ» для которой формируется на наружной панели видеодомофона с помощью ключом-картой или кнопкой «Открыть» с основной панели видеодомофона, расположенной внутри бокса.
5. Выход из бокса осуществляется путем управления механической защелкой с помощью нажимной фалевой ручки типа «Антипаника».

Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто";08.04.2026;"КРП выдал 03.06.25
КРП выдал 27.06.25";;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;3;Внутренние перегородки из сэндвич-панелей;65-ХСА-1/24;АС;3;C;65-ХСА-1/24-АС3-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто;08.04.2026;КРП выдал 27.06.25;07.11.2025;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;4;Конструктивные решения пристроек;65-ХСА-1/24;АС;4;C;65-ХСА-1/24-АС4-С;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.11.25
Изм.2 - КРП выдал 06.02.26
Изм.3 - КРП выдал 24.02.26";"03.07.25
14.11.25 - Изм.1
06.02.26 - Изм.2
24.02.26 - Изм.3";"24.11.25 - Изм.1 - бум. версия - ПСК НЗМК
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
06.02.26 - Изм.2 - эл.версия - ПСК НЗМК
06.02.26 - Изм.2 - эл.версия - ПаксМеханизация
24.02.26 - Изм.3 - эл.версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;5;Архитектурно-строительные решения пристроек;65-ХСА-1/24;АС;5;C;65-ХСА-1/24-АС5-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;"по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто
по распоряжению №62-Li от 26.01.26г. Предусмотреть индивидуальные дверные блоки в технические помещения заводского изготовления вместе с вентиляционной решёткой единым изделием. Высоту вентиляционных решеток принять одинаковой высоты для всех дверей, но не более 600 мм. В помещениях силовых трансформаторов предусмотреть вентиляционные отверстия в нижней части дверей для притока воздуха и в верхней части фрамуги для его удаления. Верх окон и дверей с решётками на фасаде предусмореть в одном уровне. Цвет дверей RAL 7016, фасонных элементов RAL 7024.";08.04.2026;"КРП выдал 06.06.25
КРП выдал 27.06.25";12.08.2025;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;6;Конструкции железобетонные. Фундаменты;65-ХСА-1/24;КЖ;1;C;65-ХСА-1/24-КЖ1-С;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25";"15.05.2025
20.11.25 - Изм.1";"06.10.25 - бум. версия - ООО «СвайСпецСтрой-Р»
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;7;Конструкции железобетонные. Фундаменты. Изделия;65-ХСА-1/24;КЖ.И;1;C;65-ХСА-1/24-КЖ1.И-С;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25";"23.05.2025
20.11.25 - Изм.1";"10.11.25 - эл.версия - ЖБТЕХ
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;8;Конструкции железобетонные. Цокольные панели;65-ХСА-1/24;КЖ;2;C;65-ХСА-1/24-КЖ2-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 18.02.26";"26.05.2025
18.02.26 - Изм.1";"19.01.26 - эл. Версия - ПаксМеханизация
18.02.26 - Изм.1 - эл. версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;9;Конструкции железобетонные. Цокольные панели. Изделия;65-ХСА-1/24;КЖ.И;2;C;65-ХСА-1/24-КЖ2.И-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";27.05.2025;"10.11.25 - эл.версия - ЖБТЕХ
19.01.26 - эл. Версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;10;Конструкции железобетонные. Доклевеллеры;65-ХСА-1/24;КЖ;3;C;65-ХСА-1/24-КЖ3-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25";"20.05.25
02.06.25 - Изм.1";19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;11;Конструкции железобетонные. Доклевеллеры. Изделия;65-ХСА-1/24;КЖ.И;3;C;65-ХСА-1/24-КЖ3.И-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;"10.11.25 - эл.версия - ЖБТЕХ
19.01.26 - эл. Версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;12;Конструкции железобетонные. Колонны;65-ХСА-1/24;КЖ;4;C;65-ХСА-1/24-КЖ4-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 13.03.26";"20.05.25
16.03.26 - Изм.1";"19.01.26 - эл. Версия - ПаксМеханизация
16.03.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;13;Конструкции железобетонные. Колонны. Изделия;65-ХСА-1/24;КЖ.И;4;C;65-ХСА-1/24-КЖ4.И-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25
Изм.2 - КРП прислал 03.02.26";"02.06.25 -Изм.1
03.02.25 - Изм.2";"10.11.25 - эл.версия - Изм.1 - ЖБТЕХ
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
03.02.26 - эл. Версия - Изм.2 -ЖБТЕХ"
0feb8a44-a0f4-11ef-af7f-0050560219d5;14;Конструкции железобетонные. Полы. Отбойники.;65-ХСА-1/24;КЖ;5;C;65-ХСА-1/24-КЖ5-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 06.11.25";06.11.25 - Изм.1;"28.07.25 - эл.версия - Пакс-Механизация
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;15;Конструкции железобетонные. Плиты перекрытий;65-ХСА-1/24;КЖ;6;C;65-ХСА-1/24-КЖ6-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;КРП выдал 24.06.25;09.07.2025;19.01.26 - эл. Версия - ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;16;Конструкции металлические. Покрытие;65-ХСА-1/24;КМ;1;C;65-ХСА-1/24-КМ1-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";02.06.2025;"24.11.25 - бум. версия - ПСК НЗМК
19.01.26 - эл. Версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;17;Конструкции металлические. Конструкции АБК;65-ХСА-1/24;КМ;2;C;65-ХСА-1/24-КМ2-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1 - КРП выдал 19.12.25
Изм.2 - КРП выдал 05.03.26";"06.06.25
19.12.25 - Изм.1
18.03.26 - Изм.2";"24.11.25 - бум. версия - ПСК НЗМК
19.12.25 - Изм.1 - эл.версия - ПСК НЗМК
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
18.03.26 - эл. Версия - Изм.2 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;18;Конструкции металлические. Наружный фахверк;65-ХСА-1/24;КМ;3;C;65-ХСА-1/24-КМ3-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25
КРП выдал 18.06.25
Изм.1 - КРП выдал 20.10.25
Изм.2 - КРП выдал 22.01.26";"20.06.25
21.10.25 - Изм.1
22.01.26 - Изм.2";"24.11.25 - Изм.1 - бум. версия - ПСК НЗМК
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
22.01.26 - Изм.2 - эл.версия - ПСК НЗМК
22.01.26 - эл. Версия - Изм.2 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;19;Конструкции металлические. Внутренний фахверк;65-ХСА-1/24;КМ;4;C;65-ХСА-1/24-КМ4-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";06.06.2025;"24.11.25 - бум. версия - ПСК НЗМК
19.01.26 - эл. Версия - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;20;Конструкции металлические. Наружные лестницы;65-ХСА-1/24;КМ;5;C;65-ХСА-1/24-КМ5-С;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 05.06.25
Изм.1 - КРП выдал 03.07.25
Изм.2 - КРП выдал 06.08.25
Изм.3 - КРП выдал 22.09.25";"03.06.25
05.06.25
03.07.25 - Изм.1
07.08.25 - Изм.2
22.09.25 - Изм.3";"24.11.25 - Изм.3 - бум. версия - ПСК НЗМК
19.01.26 - эл. Версия - Изм.3 - ПаксМеханизация"
0feb8a44-a0f4-11ef-af7f-0050560219d5;21;Электрическое освещение и электрооборудование;65-ХСА-1/24;ЭОМ;;C;65-ХСА-1/24-ЭОМ-С;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);на рассмотрении;Исключить крыки лотков (для ОКЛ остаются);;"КРП выдал 18.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
Изм.1 - КРП выдал 02.03.26";"07.07.25
07.11.25";
0feb8a44-a0f4-11ef-af7f-0050560219d5;22;Внутренние системы водоснабжения и канализации;65-ХСА-1/24;ВК;;C;65-ХСА-1/24-ВК-С;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;на рассмотрении;ошибки спецификаций;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 02.03.26
Изм.1 - КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";17.02.2026;19.01.26 - эл. Версия -  ПаксМеханизация
0feb8a44-a0f4-11ef-af7f-0050560219d5;23;Автоматическая установка пожаротушения;65-ХСА-1/24;АПТ;;C;65-ХСА-1/24-АУПТ-С;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;"КРП выдал 18.06.25
Изм.1 - КРП выдал 02.03.26";"01.08.25
30.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;24;Отопление, вентиляция и кондиционирование;65-ХСА-1/24;ОВ;;C;65-ХСА-1/24-ОВ-С;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;увязка с АПТ, оформить изм;;"КРП выдал 27.06.25
КРП выдал 12.03.26
КРП выдал 20.03.26";03.04.2026;
0feb8a44-a0f4-11ef-af7f-0050560219d5;25;Пожарная сигнализация;65-ХСА-1/24;ПС;;C;65-ХСА-1/24-ПС-С;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;"По распоряжению №68-LI от 19.03.26г.:
 1.  Для  локального  контроля  и  оперативного  управления  подсистемами 
резидентов предусмотреть проектом комплектацию шкафов пожарной сигнализации 
(ШПС), блоком световой и звуковой индикации состояния разделов типа С2000-бки с 
возможностью ограничения доступа к органам управления при помощи встроенного 
считывателя ключей. Touch Memory.  
2. Размещения шкафов пожарной сигнализации (ШПС) в боксах резидентов 
выполнить в производственно-складских помещениях. Место размещения определить 
проектом.  Решение  подлежит  дополнительному  согласованию  с  проектно-
инвестиционной группой заказчика. ";10.04.2026;"КРП выдал 24.06.25
Изм.1 - КРП выдал 01.03.26";"04.08.25
23.03.26 - Изм.1";
0feb8a44-a0f4-11ef-af7f-0050560219d5;26;Автоматизация комплексная;65-ХСА-1/24;АК;;C;65-ХСА-1/24-АК-С;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);не принят;"По распоряжению №52-Li от 12.08.25 откорректировать планировочные решения, позволяющие использовать труд МГН

оформить изм";23.03.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25";07.08.2025;
0feb8a44-a0f4-11ef-af7f-0050560219d5;27;Огнестойкость металлических конструкций;65-ХСА-1/24;ОГН;;C;Огнестойкость МК;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 15.01.26";"10.07.2025
16.01.26 - Изм.1";23.03.26 - Изм.1 - эл. версия - ОРИЕНТИР
0feb8a44-a0f4-11ef-af7f-0050560219d5;;Блок D;;;;;;;;;;;;;;;;;;;;;;;;;;
0feb8a44-a0f4-11ef-af7f-0050560219d5;1;Общие архитектурные решения;65-ХСА-1/24;АС;1;D;65-ХСА-1/24-АС1-D;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возвращен на доработку;не принят;"Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

По распоряжению №60 от 10.12.25:
Надпись номера помещения (бокса) на фасадной части:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1500 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""INDUSTRIAL CITY""(при наличии):
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""BLOCK"":
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Для всех форматов LI предусмотреть световые знаки с названием улицы, строения, номера строения на боковых фасадах, ориентированных на основные проезды и внешние улично-дорожные сети, с подключением к сети электроснабжения (световой знак с названием улицы и нумерацией ГОСТ 180 (5 мм)/D44. Передняя панель - акрил + полноцветная печать на пленке ORACAL. Торец. задняя часть - ПВХ. Комплектация: светодиодная подсветка 24W, 6400 К, 152 см, 230V Ширина полосы 3,5 см (с подсветкой))

На листе 5 на плане убрать лестницы входных групп по оси А

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

по Распоряжению №63-Li от 27.01.26г. предусмотреть окраску Ж/Б цокольных панелей и Ж/б колонн фасадной матовой краской Linnimax Silkon Super Fassade, (или аналог по согласованию с Заказчиком). Цвет RAL 7035 светло серый под бетон;

По распоряжению 04-ДП от 23.03.26г. предусмотреть:
Основная отделка стен предусмотрена СМЛ панелями высотой 3м (Панель - поталь титан (панели монтируются в 1 слой));
Декоративная отделка стен предусмотрена реечными стеновыми панелями (Панель ""WINAL"" лист HPL пластик Металлик LM-1003 со скрытым креплением);
Применить вертикальный стыковочный профиль высотой 3 м;
Применить плинтус цветпо RAL 7024 WNL 100х13
Участки стен выше 3 м -""лобик"", предусмотреть в вариантах из СМЛ панелей или ГКЛ в цвет потолочных конструкций";22.04.2026;КРП выдал 27.06.25;;
