;;;;;;;;;;;;;;;;;;;;;ПРОИЗВОДСТВЕННО - СКЛАДСКОЙ КОМПЛЕКС ?ЦИФРОВОЙ ПРОМЫШЛЕННЫЙ КОВОРКИНГ ИНДАСТРИАЛ СИТИ ?ЛЕНИНСКИЙ?;;;;;;;
№ п/п;Наименование  работ (разделов работ).;№ Договора;Номер раздела;Шифр;Номер шифра;Блок;Шифр полный;"Ноябрь
 2024";;"Декабрь 
2024";"Январь
 2025";"Февраль
2025";"Март 
2025";"Апрель
 2025";"Май
 2025";;"Июнь 
2025";;"Июль
2025";;"Дата выдачи разделов по
Договору";Загрузка в ЭДО Tessa;Статус РД;Замечания СА;"Прогнозная
дата выдачи разделов";Выдача КРП;Направлен в Производство работ;Выдан в Производство работ подрядчикам
;Блок А;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Общие архитектурные решения;65-ХСА-1/24;2;АС;1;A;65-ХСА-1/24-АС1-А;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возвращен на доработку;не принят;"Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

показаны лестницы на нижних АБК - их нет

согласно распоряжения №7к от 26.09.25 откорректировать перф. панели Point и надписи

По распоряжению №60-Li от 10.12.25:
Надпись номера помещения (бокса) на фасадной части:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - (АББ 1-14 - 3000 мм) АББ 15-28 - 1500 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""INDUSTRIAL CITY""(при наличии):
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""BLOCK"":
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Для всех форматов LI предусмотреть световые знаки с названием улицы, строения, номера строения на боковых фасадах, ориентированных на основные проезды и внешние улично-дорожные сети, с подключением к сети электроснабжения (световой знак с названием улицы и нумерацией ГОСТ 180 (5 мм)/D44. Передняя панель - акрил + полноцветная печать на пленке ORACAL. Торец. задняя часть - ПВХ. Комплектация: светодиодная подсветка 24W, 6400 К, 152 см, 230V Ширина полосы 3,5 см (с подсветкой))

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

по Распоряжению №63-Li от 27.01.26г. предусмотреть окраску Ж/Б цокольных панелей и Ж/б колонн фасадной матовой краской Linnimax Silkon Super Fassade, (или аналог по согласованию с Заказчиком). Цвет RAL 7035 светло серый под бетон;

Согласно распоряжению №15-Ленинский от 03.03.26 добавить два окна по оси 1 в боксе №14

по распоряжению №16 Ленинский от 16.03.26 в Point: 
1. Предусмотреть проектом декоративные перфорированные листы из крашеной аллюминиевой стали, декоративная перфорация ""дерево"", рисунок согласовать с ПИГ.
2. Откорректировать цветовые решения формата LI ""Point"":
2.1. Цвет перфорированных стальных листов шоколадно-коричневый (по RAL 8017) скорректировать на цвет пыльно-серый (по RAL 7037);
2.2. Отменены цветные (шоколадно-коричневые) стемалитовые вставки витражей. Применить стекло серого цвета, согласно типовому техническому заданию. Стекло со стороны фасада - тонированное цвет Planibel Grey.

По распоряжению 04-ДП от 23.03.26г. предусмотреть:
Основная отделка стен предусмотрена СМЛ панелями высотой 3м (Панель - поталь титан (панели монтируются в 1 слой));
Декоративная отделка стен предусмотрена реечными стеновыми панелями (Панель ""WINAL"" лист HPL пластик Металлик LM-1003 со скрытым креплением);
Применить вертикальный стыковочный профиль высотой 3 м;
Применить плинтус цвет по RAL 7024 WNL 100х13
Участки стен выше 3 м -""лобик"", предусмотреть в вариантах из СМЛ панелей или ГКЛ в цвет потолочных конструкций";назначение срока после согласования решений по СМЛ-панелям (новых дизайн-проект);КРП выдал 27.06.25;;
2;Стеновые и кровельные ограждающие конструкции;65-ХСА-1/24;3;АС;2;A;65-ХСА-1/24-АС2-А;;;;;;;;;;;;;;30.04.2025;Загружен, возвращен на доработку;не принят;"отсутствуют вырезы в сендвич-панелях для дверного проема в технические ниши

по распоряжению №47к-Li от 13.10.25г. Скорректировать логитип на кровле из ПВХ-мембраны тезнониколь 1,5 мм RAL 3016

колличество козырьков неверное (указано 14)

Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

согласно распоряжения №53к-Li от 06.02.26: 
1.остекление входных групп выполнить двухкамерными стеклопакетами (СПД4Т/Gray-12-4-12-4), стекло тонированное Planibel Grey;
2.Остекление дверного блока выполнить однокамерными стеклопакетами по формуле СПД4Т/Grey-20-4, стекло тонированное Planibel Grey;
3.Дверное полотно каждого из боксов оборудовать:
3.1. Доводчиком с ограничением открывания полотна типа TS, производителя ?DORMA? со скользящей тягой, или аналог;
3.2. Врезным механическим замком серии 920 производителя ?DORMA?, или аналог с защелкой и штифтовым механизмом, который предусматривается для запирания входной двери в том числе вне рабочего времени;
3.3. Цилиндр врезного замка типа ключ ? вертушка серии CBR-1 PRO производителя ?DORMA?, или аналог с накладками из нержавеющей стали с наружной стороны;
3.4. Наружной ручкой типа скоба из нержавеющей стали высоту которой принять по формуле: высота дверного блока -500 мм. Ручку причинять производителя ?FUARO?, марки PULL.PH32/*.45 INOX 304, или аналог конструкцией которой должна предусматривать собой нормальный доступ к цилиндру механического врезного замка. Размещение ручки выполнить по центру дверного полотна;
3.5. Внутренняя фалевая ручка типа модели Pure 8100 / 6621 / 6679 производителя ?DORMA?;
3.6. Электромеханической защелкой производителя Soca SL-350B или аналог, которая предусматривается в качестве ответной планки защелке врезного механического замка;
3.7. Упор дверной из нержавеющей стали с резиновым кольцом;
3.8. Комплектом локальной системы контроля и управления доступом (СКУД) в соответствии с требованиями пункта ? Система контроля и управления доступом (СКУД) АББ резидентов, указанный в типовых технических заданиях.
4. Проход в боксы резидентов выполняется путем управления защелкой Soca SL-350B. Подача сигнала ?ОТКРЫТЬ? для которой формируется на наружной панели видеодомофона с помощью ключом-картой или кнопкой ?Открыть? с основной панели видеодомофона, расположенной внутри бокса.
5. Выход из бокса осуществляется путем управления механической защелкой с помощью нажимной фалевой ручки типа ?Антипаника?.

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

Лист 55 скорректировать размеры ворот

Согласно распоряжению №15-Ленинский от 03.03.26 добавить два окна по оси 1 в боксе №14

по распоряжению №16 Ленинский от 16.03.26 в Point: 
1. Предусмотреть проектом декоративные перфорированные листы из крашеной аллюминиевой стали, декоративная перфорация ""дерево"", рисунок согласовать с ПИГ.
2. Откорректировать цветовые решения формата LI ""Point"":
2.1. Цвет перфорированных стальных листов шоколадно-коричневый (по RAL 8017) скорректировать на цвет пыльно-серый (по RAL 7037);
2.2. Отменены цветные (шоколадно-коричневые) стемалитовые вставки витражей. Применить стекло серого цвета, согласно типовому техническому заданию. Стекло со стороны фасада - тонированное цвет Planibel Grey.";после согласования узлов и фасонок;"КРП выдал 03.06.25
КРП выдал 27.06.25";;"27.11.25 - эл. версия - СВ
30.03.26 - эл.версия - ГК ЩИТ"
3;Внутренние перегородки из сэндвич-панелей;65-ХСА-1/24;4;АС;3;A;65-ХСА-1/24-АС3-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто;после АС2;КРП выдал 27.06.25;07.11.2025;"27.11.25 - эл. версия - СВ
30.03.26 - эл.версия - ГК ЩИТ"
4;Конструктивные решения пристроек;65-ХСА-1/24;47;АС;4;A;65-ХСА-1/24-АС4-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;добавить закладные подвесов в НСП, скорректировать пъедестал в НСП;05.05.2026;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.11.25
Изм.2 - КРП выдал 06.02.26
Изм.3 - КРП выдал 24.04.26";"03.07.25
14.11.25 - Изм.1
06.02.26 - Изм.2";"27.11.25 - Изм.1 - эл. версия - СВ
06.02.26 - Изм.2 - эл.версия - Армикон
06.02.26 - Изм.2 - эл.версия - СВ
30.03.26 - Изм.2 - эл.версия - ГК ЩИТ"
5;Архитектурно-строительные решения пристроек;65-ХСА-1/24;5;АС;5;A;65-ХСА-1/24-АС5-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;"по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто
по распоряжению №62-Li от 26.01.26г. Предусмотреть индивидуальные дверные блоки в технические помещения заводского изготовления вместе с вентиляционной решёткой единым изделием. Высоту вентиляционных решеток принять одинаковой высоты для всех дверей, но не более 600 мм. В помещениях силовых трансформаторов предусмотреть вентиляционные отверстия в нижней части дверей для притока воздуха и в верхней части фрамуги для его удаления. Верх окон и дверей с решётками на фасаде предусмореть в одном уровне. Цвет дверей RAL 7016, фасонных элементов RAL 7024.";после согласования узлов и фасонок;"КРП выдал 06.06.25
КРП выдал 27.06.25";12.08.2025;
6;Конструкции железобетонные. Фундаменты;65-ХСА-1/24;6;КЖ;1;A;65-ХСА-1/24-КЖ1-А;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25
Изм.2 - КРП выдал 10.12.25";"15.05.2025
20.11.25 - Изм.1
11.12.25 - Изм.2";"06.10.25 - бум. версия - ООО ?СвайСпецСтрой-Р?
27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.2 - эл.версия - ГК ЩИТ"
7;Конструкции железобетонные. Фундаменты. Изделия;65-ХСА-1/24;7;КЖ.И;1;A;65-ХСА-1/24-КЖ1.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25";"23.05.2025
20.11.25 - Изм.1";17.10.25 - бум.версия - ЖилСтройСити
